Warning 2020-01-21 11:44:05:0628  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 14:01:42:0976  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[54396], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 14:01:43:0359  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 14:01:43:0371  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 14:01:43:0483  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[5040]     Solution:
Info    2020-01-21 14:01:43:0483  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[7204]     Solution:
Warning 2020-01-21 14:15:15:0976  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 14:15:15:0978  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[55901], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 14:15:16:0345  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 14:15:16:0358  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 14:15:16:0468  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[8148]     Solution:
