"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"RJ7","1206J","87.7907mm","-15.4mm","86mm","-15.4mm","86mm","-15.4mm","B","360.00","Comment"
"RJ6","1206J","87.77mm","-25.8151mm","87.77mm","-24.0244mm","87.77mm","-24.0244mm","B","270.00","Comment"
"RJ5","1206J","29.77mm","-19.6855mm","29.77mm","-17.8948mm","29.77mm","-17.8948mm","B","270.00","Comment"
"RJ4","1206J","104.6872mm","-15.8617mm","104.6872mm","-17.6524mm","104.6872mm","-17.6524mm","B","90.00","Comment"
"RJ3","1206J","95.46mm","9.9817mm","95.46mm","8.191mm","95.46mm","8.191mm","B","90.00","Comment"
"C31","0603C-B","75.29mm","11.3752mm","75.29mm","10.41mm","75.29mm","10.41mm","B","90.00","100nF 0603 Y5V 50V Z"
"R39","0603R-B","49.5mm","-2.8348mm","49.5mm","-3.8mm","49.5mm","-3.8mm","B","90.00","2K 0603 F"
"SCR4","SCR_SOT223","21.605mm","28.6166mm","21.611mm","28.6124mm","21.605mm","25.5166mm","B","360.00","ACT108W-600E"
"SCR5","SCR_SOT223","46.5888mm","23.4456mm","46.5948mm","23.4414mm","46.5888mm","20.3456mm","B","360.00","ACT108W-600E"
"U3","QFP32","63.3867mm","-4.1665mm","63.3867mm","-4.1665mm","68.69mm","-5.51mm","B","225.00","STM8S005K6"
"R32","0603R-B","96.16mm","4.1052mm","96.16mm","3.14mm","96.16mm","3.14mm","B","90.00","4K7 0603 J"
"R19","0603R-B","74.1852mm","8.67mm","73.22mm","8.67mm","73.22mm","8.67mm","B","360.00","4K7 0603 J"
"R18","0603R-B","83.2mm","4.0652mm","83.2mm","3.1mm","83.2mm","3.1mm","B","90.00","4K7 0603 J"
"R16","0603R-B","66.1652mm","-21.66mm","65.2mm","-21.66mm","65.2mm","-21.66mm","B","360.00","150R 0603 J"
"R15","0603R-B","70.728mm","-20.1052mm","70.728mm","-19.14mm","70.728mm","-19.14mm","B","270.00","150R 0603 J"
"R12","0603R-B","99.4mm","-26.2348mm","99.4mm","-27.2mm","99.4mm","-27.2mm","B","90.00","2K2 0603 J"
"R6","0603R-B","77.23mm","-20.1248mm","77.23mm","-19.1596mm","77.23mm","-19.1596mm","B","270.00","150R 0603 J"
"R3","0603R-B","82.03mm","-22.0652mm","82.03mm","-21.1mm","82.03mm","-21.1mm","B","270.00","150R 0603 J"
"C28","0603C-B","79.3mm","-20.1348mm","79.3mm","-21.1mm","79.3mm","-21.1mm","B","90.00","47pF 0603 X7R 50V K"
